customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon,is_q1,is_q2,is_q3
C9149,,Male,56842.68,,P0063,-5,202.35,Online Wallet,True,-42.40227,,True,False,False
C3099,,Male,28475.02,2025-02-08,P0047,-5,41.85,Cash,False,,,True,False,False
C8525,62.0,Female,52433.86,,P0084,-5,756.31,Online Wallet,True,,,True,False,False
C8961,,Other,73649.53,2025-02-12,P0036,6,350.47,Card,False,,,True,False,False
C6373,56.0,Female,108569.8,,P0078,-5,341.16,Cash,True,-59.680985,,True,False,False
C9866,18.0,Female,96993.62,,P0063,3,512.39,Card,True,-49.401294,,True,False,False
C6564,,Other,59519.12,2025-01-09,P0022,-5,481.39,Cash,True,-44.928893,,True,False,False
C2632,38.0,Male,46058.3,,P0044,-5,804.67,Online Wallet,True,,-72.504496,True,False,False
C6946,,Other,88374.59,2025-01-21,P0077,-5,901.15,Crypto,False,25.299301,-68.741712,True,False,False
C3804,42.0,Female,97565.96,,P0059,-5,914.96,Online Wallet,True,,-98.562459,True,False,False
C6576,68.0,Other,87069.17,,P0093,9,31.86,Card,True,,20.388919,True,False,False
C4460,29.0,Female,91438.26,,P0058,-5,365.51,Online Wallet,True,,103.047649,True,False,False
C4677,55.0,Female,69275.17,2025-01-18,P0002,-5,194.95,Online Wallet,False,-84.20172,,True,False,False
C8190,65.0,Male,77196.39,,P0057,9,424.2,Crypto,False,-9.243187,,True,False,False
C2799,35.0,Other,45663.95,2025-03-08,P0055,-5,938.98,Crypto,False,,172.212756,True,False,False
C3721,,Other,67352.64,,P0005,-5,562.1,Cash,False,,-176.567106,True,False,False
C6893,47.0,Other,52510.12,2025-03-11,P0041,-5,619.47,Crypto,True,-29.922895,-140.52219,True,False,False
C9009,32.0,Other,101876.92,2025-03-10,P0081,-5,111.14,Crypto,True,,,True,False,False
C6282,,Other,27298.11,,P0099,-5,810.14,Crypto,True,-11.732158,11.29906,True,False,False
C5143,,Other,60811.78,,P0038,7,595.7,Card,False,,,True,False,False
C9132,47.0,Female,64452.84,,P0098,9,180.47,Card,True,,,True,False,False
C6236,28.0,Female,81019.95,,P0088,6,466.69,Online Wallet,True,,,True,False,False
C3126,,Female,70638.91,,P0062,1,420.51,Online Wallet,True,-76.961563,160.81893,True,False,False
C5128,,Female,116651.72,2025-03-04,P0055,1,849.35,Cash,False,-49.162046,,True,False,False
C4542,,Male,89042.48,2025-02-07,P0051,4,673.09,Online Wallet,True,7.052571,50.022906,True,False,False
C7068,,Male,60426.49,,P0039,-5,695.16,Cash,True,,,True,False,False
C9415,18.0,Female,70639.14,,P0029,3,800.88,Crypto,True,-9.038365,,True,False,False
C8941,24.0,Other,97255.46,,P0046,2,963.3,Cash,True,35.59966,,True,False,False
C9719,62.0,Other,39473.73,,P0042,1,664.37,Crypto,True,-57.307657,22.07857,True,False,False
C7611,,Male,116597.57,2025-01-30,P0075,4,808.62,Cash,False,53.698398,-8.301633,True,False,False
C8545,48.0,Other,72432.37,2025-02-28,P0026,5,280.4,Cash,True,54.63224,-177.605303,True,False,False
C9465,46.0,Female,98298.22,,P0100,2,735.52,Crypto,True,,-8.853491,True,False,False
C3574,,Male,37865.29,2025-01-21,P0093,-5,477.95,Crypto,False,,,True,False,False
C1027,,Other,51904.37,2025-01-16,P0011,-5,537.17,Card,True,,42.837946,True,False,False
C2812,51.0,Other,47327.82,,P0030,4,175.35,Online Wallet,True,,,True,False,False
C3855,,Male,56784.74,2025-02-03,P0015,10,721.87,Card,True,,,True,False,False
C3902,,Male,38699.31,2025-03-03,P0052,-5,109.89,Crypto,True,,,True,False,False
C2991,26.0,Other,84238.44,,P0076,8,484.84,Online Wallet,False,4.611126,,True,False,False
C6560,,Female,107819.78,,P0063,2,831.27,Online Wallet,False,89.842088,,True,False,False
C7698,18.0,Other,46375.77,,P0014,1,670.14,Cash,False,53.708398,,True,False,False
C7201,28.0,Other,76111.93,,P0030,-5,591.39,Crypto,True,,123.137859,True,False,False
C5594,67.0,Male,76707.07,2025-01-29,P0033,9,198.18,Cash,True,,37.118178,True,False,False
C5051,38.0,Other,76435.49,,P0057,-5,417.63,Card,True,-48.761426,136.014345,True,False,False
C1820,,Male,59775.01,2025-01-27,P0089,-5,610.01,Cash,True,59.841827,,True,False,False
C5926,,Other,76689.59,,P0042,2,155.44,Online Wallet,True,11.49444,66.805661,True,False,False
C8857,,Male,25945.07,2025-02-21,P0004,5,494.34,Crypto,True,,-34.542577,True,False,False
C6468,21.0,Female,95069.51,2025-01-17,P0065,10,937.86,Crypto,False,-66.084886,,True,False,False
C1400,,Male,76411.44,,P0052,2,807.89,Crypto,True,35.613544,96.678367,True,False,False
C5840,60.0,Male,21491.1,2025-01-29,P0061,6,348.17,Cash,True,,-142.231544,True,False,False
C8361,25.0,Other,47829.84,,P0087,-5,126.15,Online Wallet,True,,100.935136,True,False,False
C1705,37.0,Female,54942.33,2025-02-17,P0056,9,391.82,Cash,False,-40.511176,,True,False,False
C4479,48.0,Other,89440.2,2025-02-03,P0080,-5,324.3,Online Wallet,True,,,True,False,False
C4634,59.0,Female,112831.95,,P0068,-5,504.26,Crypto,True,-66.044772,,True,False,False
C8472,70.0,Other,41760.49,,P0047,6,855.84,Online Wallet,True,,-76.890767,True,False,False
C1745,,Other,93370.58,2025-02-26,P0087,-5,997.46,Cash,True,,,True,False,False
C5372,20.0,Male,39318.16,,P0066,2,353.8,Card,False,,,True,False,False
C2662,57.0,Female,30238.38,2025-03-16,P0067,-5,819.41,Cash,False,-11.249519,,True,False,False
C7783,,Other,117890.99,2025-01-25,P0024,4,358.62,Online Wallet,True,,-4.652095,True,False,False
C2596,,Male,47771.03,,P0031,-5,234.57,Crypto,True,-89.538762,,True,False,False
C7139,,Other,24643.83,,P0098,6,427.28,Crypto,True,,,True,False,False
C3823,,Female,54965.19,2025-03-21,P0035,5,962.91,Cash,False,,,True,False,False
C8016,57.0,Other,90155.22,2025-02-24,P0013,10,942.6,Online Wallet,False,22.297225,-61.020654,True,False,False
C9778,,Male,84340.14,,P0067,-5,741.74,Crypto,False,-21.025296,151.721045,True,False,False
C8692,,Other,108204.69,,P0097,-5,803.63,Crypto,False,,,True,False,False
C3661,,Female,88627.23,,P0002,-5,863.2,Crypto,True,,,True,False,False
C6859,,Female,113153.98,,P0089,8,201.23,Cash,True,15.313041,,True,False,False
C1879,34.0,Female,105049.89,2025-02-02,P0034,-5,535.97,Card,False,,,True,False,False
C8298,21.0,Female,60864.1,,P0039,8,197.71,Crypto,True,,,True,False,False
C3516,46.0,Male,106953.69,2025-02-27,P0080,8,264.49,Crypto,True,,,True,False,False
C1097,,Other,117109.93,2025-01-05,P0013,3,191.38,Card,True,,,True,False,False
C6172,45.0,Female,32202.6,2025-03-20,P0069,-5,214.3,Card,False,-62.8166,7.652199,True,False,False
C1602,61.0,Other,42435.63,2025-02-27,P0097,-5,283.78,Card,False,-36.03113,179.309443,True,False,False
C5962,18.0,Female,37575.3,,P0056,9,215.91,Card,True,,,True,False,False
C6893,30.0,Male,114458.73,2025-01-24,P0002,-5,596.29,Online Wallet,True,,,True,False,False
C5060,,Other,94588.88,2025-01-23,P0012,-5,768.45,Card,True,-2.13443,,True,False,False
C1089,,Other,54654.33,2025-01-23,P0005,5,258.86,Cash,True,,179.99736,True,False,False
C8818,,Other,115666.4,,P0045,-5,147.61,Cash,True,59.655681,,True,False,False
C6563,,Other,117998.26,2025-02-18,P0022,8,526.31,Crypto,True,46.348064,135.456628,True,False,False
C5846,,Other,57348.4,2025-02-26,P0058,-5,810.81,Crypto,False,-69.702296,,True,False,False
C4050,,Female,73203.69,2025-02-09,P0005,1,433.41,Crypto,False,,,True,False,False
C5919,,Other,99695.13,2025-03-17,P0070,-5,232.66,Online Wallet,True,-63.980954,,True,False,False
C5880,23.0,Female,68204.61,,P0047,-5,12.79,Online Wallet,True,-23.589721,178.727926,True,False,False
C6076,43.0,Female,55170.51,,P0005,-5,20.66,Card,False,,-51.406597,True,False,False
C9812,27.0,Other,38248.65,2025-02-12,P0035,7,707.8,Card,False,,-77.789003,True,False,False
C9008,52.0,Other,58704.01,2025-02-27,P0049,-5,436.95,Online Wallet,True,,155.878019,True,False,False
C7941,49.0,Female,39326.73,,P0038,8,568.59,Cash,False,-40.337914,88.499127,True,False,False
C5007,,Female,84103.8,,P0078,-5,419.98,Card,True,,,True,False,False
C4046,34.0,Other,113800.83,2025-02-18,P0032,-5,21.95,Online Wallet,False,,,True,False,False
C9016,53.0,Other,57943.56,2025-01-06,P0091,9,293.75,Crypto,True,0.27995,,True,False,False
C5985,37.0,Male,49658.6,,P0018,-5,740.13,Card,True,,,True,False,False
C1286,37.0,Male,30908.79,,P0015,7,402.24,Cash,True,-60.483362,,True,False,False
C7389,,Other,62431.96,2025-02-23,P0011,-5,898.82,Cash,True,34.085105,,True,False,False
C7330,,Female,73893.12,,P0054,9,703.43,Card,True,64.280286,,True,False,False
C3834,49.0,Other,95585.56,2025-02-21,P0069,-5,270.7,Card,True,,-14.692306,True,False,False
C7265,40.0,Other,101725.41,,P0075,4,96.48,Online Wallet,True,,,True,False,False
C6629,43.0,Male,56088.83,2025-01-23,P0084,5,113.87,Online Wallet,True,-72.392758,135.955238,True,False,False
C5493,63.0,Other,47440.63,,P0055,-5,835.04,Card,False,-4.327634,-132.438632,True,False,False
C8275,26.0,Female,36269.98,2025-01-30,P0011,-5,235.72,Cash,True,52.574563,122.18208,True,False,False
C4149,65.0,Other,46321.1,2025-02-22,P0042,5,249.4,Online Wallet,False,-13.950758,-14.190256,True,False,False
C3534,49.0,Other,24388.28,,P0025,5,115.99,Online Wallet,True,24.560325,73.845836,True,False,False
C5535,,Other,30028.36,,P0096,-5,703.82,Crypto,False,,,True,False,False
C6434,,Female,116464.31,2025-01-10,P0095,9,73.48,Card,True,,,True,False,False
C8151,,Other,61580.32,2025-03-01,P0092,-5,517.41,Card,True,,159.901587,True,False,False
C2139,,Other,86154.28,,P0084,4,782.46,Cash,True,,,True,False,False
C7023,58.0,Other,102059.67,,P0019,10,917.98,Cash,False,,,True,False,False
C5485,69.0,Other,88756.54,2025-03-08,P0063,10,769.5,Online Wallet,True,36.628515,,True,False,False
C2275,42.0,Other,63458.5,2025-03-12,P0046,-5,974.89,Crypto,False,,-74.498591,True,False,False
C2236,,Other,40952.72,,P0021,-5,189.81,Online Wallet,False,,-177.36845,True,False,False
C6072,,Other,119909.34,,P0021,-5,979.21,Cash,True,,-34.253975,True,False,False
C5027,,Other,38352.57,2025-03-11,P0001,-5,198.49,Cash,True,,,True,False,False
C7521,45.0,Other,34331.66,2025-02-21,P0027,10,294.83,Card,True,75.740807,-15.836575,True,False,False
C7247,,Other,24350.35,,P0005,4,950.35,Card,False,,20.869614,True,False,False
C1342,,Other,51892.54,2025-03-30,P0077,-5,762.2,Online Wallet,True,,,True,False,False
C8591,,Other,83946.45,2025-03-01,P0050,6,596.4,Online Wallet,True,43.556311,-105.821279,True,False,False
C2969,,Female,23929.18,,P0075,-5,49.71,Crypto,True,3.871988,,True,False,False
C1890,68.0,Other,22937.3,,P0057,9,255.9,Crypto,True,,-132.749121,True,False,False
C5997,,Other,59886.78,,P0052,-5,635.33,Crypto,True,-39.468931,34.247544,True,False,False
C8751,63.0,Other,106048.62,,P0072,-5,593.11,Crypto,False,,117.841205,True,False,False
C1453,58.0,Male,80513.73,,P0079,4,779.32,Online Wallet,False,,124.474868,True,False,False
C2419,28.0,Female,44942.17,,P0075,-5,924.4,Online Wallet,True,,,True,False,False
C4633,63.0,Other,81640.25,2025-02-11,P0015,-5,998.87,Card,False,,,True,False,False
C8044,,Female,95274.75,,P0031,10,292.43,Card,False,28.885701,45.639421,True,False,False
C3103,,Male,81641.88,2025-03-24,P0096,8,768.45,Cash,True,48.331183,56.643606,True,False,False
C4277,,Male,107959.16,,P0052,-5,933.75,Card,True,18.837111,60.058904,True,False,False
C7838,,Other,82268.89,2025-01-26,P0036,-5,61.74,Cash,False,-80.857364,,True,False,False
C9857,,Other,91818.07,,P0092,5,138.13,Cash,True,,,True,False,False
C4990,,Male,46789.61,2025-02-24,P0015,7,90.16,Cash,True,,,True,False,False
C6274,,Male,88546.66,,P0086,-5,607.11,Online Wallet,True,,,True,False,False
C2482,68.0,Other,109746.15,,P0037,-5,436.88,Cash,True,-11.501124,144.184379,True,False,False
C4184,39.0,Other,68978.8,,P0015,5,662.06,Card,True,42.816667,,True,False,False
C5109,,Male,100656.92,2025-03-10,P0036,3,529.6,Cash,False,42.734964,,True,False,False
C5202,58.0,Other,20934.07,,P0096,-5,406.02,Cash,True,-60.429897,,True,False,False
C6578,48.0,Other,86370.49,,P0024,-5,502.71,Cash,True,,-164.384324,True,False,False
C9388,19.0,Other,46812.59,,P0090,-5,413.11,Online Wallet,True,,,True,False,False
C3669,33.0,Female,43257.48,2025-01-11,P0026,10,990.69,Card,True,10.620736,,True,False,False
C6737,,Female,23408.01,,P0031,9,327.32,Card,False,,-20.016829,True,False,False
C6740,,Female,85589.86,2025-03-21,P0001,-5,784.75,Cash,False,-64.657741,,True,False,False
C8758,21.0,Other,60580.37,2025-01-30,P0071,-5,82.39,Online Wallet,False,,,True,False,False
C7760,,Other,49675.85,,P0091,6,600.14,Card,True,,,True,False,False
C4601,23.0,Other,107244.19,,P0096,2,528.58,Crypto,False,,,True,False,False
C2119,55.0,Other,25116.54,,P0022,2,982.41,Card,True,,22.157328,True,False,False
C3068,29.0,Female,65913.15,,P0053,-5,337.51,Card,True,,,True,False,False
C5863,,Other,25057.88,,P0038,10,382.62,Online Wallet,False,,-3.915721,True,False,False
C2165,36.0,Male,91005.22,2025-01-09,P0061,-5,238.99,Cash,True,,,True,False,False
C6588,,Other,23538.78,,P0080,-5,559.41,Online Wallet,False,,,True,False,False
C4104,,Other,78613.59,,P0071,-5,820.5,Crypto,True,,-1.325513,True,False,False
C8403,57.0,Female,38572.72,2025-03-08,P0037,9,871.22,Card,True,,-132.481318,True,False,False
C8031,,Female,41760.96,2025-02-18,P0009,-5,306.17,Card,True,-33.412178,,True,False,False
C3680,54.0,Other,51326.67,,P0054,-5,181.05,Card,False,-34.472141,-157.247639,True,False,False
C8843,66.0,Male,48132.2,,P0088,-5,613.49,Online Wallet,True,-72.466477,0.59741,True,False,False
C2757,,Other,96155.82,,P0078,-5,109.13,Online Wallet,True,,-28.180171,True,False,False
C3804,52.0,Other,90448.45,2025-01-11,P0065,-5,98.59,Online Wallet,True,21.414739,,True,False,False
C4507,,Male,24302.18,2025-02-15,P0026,9,175.66,Card,True,,,True,False,False
C8216,,Other,39486.69,2025-03-02,P0053,4,840.44,Cash,False,,-77.770651,True,False,False
C1534,51.0,Male,54568.11,2025-03-18,P0063,8,316.42,Crypto,True,,-2.653794,True,False,False
C3222,70.0,Other,84726.54,2025-03-24,P0087,8,641.67,Cash,False,-66.824961,69.824236,True,False,False
C7833,,Female,70791.18,,P0019,5,862.28,Online Wallet,False,,81.424106,True,False,False
C2337,68.0,Female,73020.67,2025-01-09,P0019,-5,58.53,Crypto,False,49.036903,35.033095,True,False,False
C1768,,Other,76333.98,2025-03-08,P0094,2,970.74,Online Wallet,True,,,True,False,False
C8816,40.0,Male,53917.6,2025-02-24,P0086,-5,511.84,Crypto,True,,,True,False,False
C3766,23.0,Male,86212.08,,P0094,-5,389.52,Online Wallet,True,,,True,False,False
C1457,18.0,Other,71581.44,2025-02-11,P0007,-5,480.05,Online Wallet,False,12.277366,,True,False,False
C1764,31.0,Other,75313.21,2025-02-21,P0076,-5,759.87,Online Wallet,True,,106.335641,True,False,False
C4678,,Other,104013.95,,P0054,5,880.8,Cash,True,,136.834624,True,False,False
C4169,,Male,74629.15,,P0006,-5,816.26,Crypto,True,87.094603,,True,False,False
C3660,21.0,Female,25080.71,,P0095,8,818.11,Card,True,,-171.813328,True,False,False
C7569,,Female,47291.64,2025-01-06,P0063,-5,249.22,Card,True,59.525226,,True,False,False
C3788,,Other,114121.03,,P0084,10,851.52,Cash,False,-1.276375,138.233564,True,False,False
C2006,25.0,Other,89098.54,,P0062,-5,679.31,Cash,True,-35.941391,-73.174201,True,False,False
C1626,27.0,Female,23464.88,,P0080,-5,698.3,Card,False,-37.587863,155.849987,True,False,False
C7893,50.0,Male,104144.22,2025-03-17,P0073,-5,426.34,Card,True,,168.697438,True,False,False
C7972,50.0,Other,64346.84,,P0100,5,56.2,Cash,False,,,True,False,False
C4734,53.0,Other,44492.71,2025-02-27,P0041,5,131.77,Cash,False,,,True,False,False
C9075,59.0,Other,51561.13,2025-03-09,P0086,-5,937.48,Cash,False,,-45.477558,True,False,False
C7261,50.0,Female,118386.78,2025-02-20,P0048,7,525.59,Online Wallet,True,-11.673142,,True,False,False
C5494,44.0,Male,58313.69,,P0014,-5,259.24,Crypto,True,,,True,False,False
C8179,60.0,Female,39737.0,2025-01-01,P0075,7,43.46,Card,False,,-172.028177,True,False,False
C7036,,Female,32903.56,,P0058,-5,42.43,Cash,True,50.612851,,True,False,False
C5280,40.0,Male,31685.66,2025-03-09,P0092,-5,294.29,Crypto,False,-37.531833,,True,False,False
C7940,53.0,Female,60236.53,,P0045,8,499.96,Crypto,True,,-135.353017,True,False,False
C1184,32.0,Female,91316.01,2025-02-01,P0001,7,497.03,Online Wallet,True,,-177.345396,True,False,False
C6861,,Other,56922.33,,P0077,10,274.05,Online Wallet,False,,-32.460855,True,False,False
C2989,49.0,Other,65077.74,,P0012,-5,68.56,Online Wallet,True,31.306344,,True,False,False
C7332,33.0,Other,112494.27,,P0028,5,964.9,Online Wallet,False,,21.832916,True,False,False
C8313,,Other,85705.27,2025-02-01,P0096,-5,943.89,Online Wallet,False,35.133535,,True,False,False
C8646,,Male,64364.32,,P0090,-5,248.73,Online Wallet,False,-56.206311,-138.299973,True,False,False
C1934,,Other,46750.15,,P0017,10,42.91,Crypto,True,-16.053199,52.885368,True,False,False
C4982,25.0,Other,74407.99,,P0041,5,786.02,Crypto,True,,-62.452955,True,False,False
C3831,,Female,48982.36,2025-01-25,P0038,-5,445.94,Card,True,-0.174784,,True,False,False
C3149,,Other,28000.4,,P0070,9,438.1,Card,True,,-132.296467,True,False,False
C9577,,Other,77913.1,2025-01-03,P0077,4,975.47,Online Wallet,False,-4.553349,,True,False,False
C1688,,Other,41657.78,2025-03-12,P0011,-5,683.58,Online Wallet,True,,,True,False,False
C1094,,Female,33053.88,,P0071,-5,161.25,Card,True,65.048648,,True,False,False
C2991,,Other,104915.66,2025-03-25,P0075,4,281.6,Card,True,79.510567,,True,False,False
C9775,41.0,Other,101556.15,,P0083,-5,799.55,Crypto,False,,103.374249,True,False,False
C2918,,Male,92249.86,,P0022,5,65.54,Cash,True,-14.053857,,True,False,False
C5608,,Other,70169.38,2025-03-17,P0023,-5,403.93,Card,True,10.752782,-58.733374,True,False,False
C6873,,Other,38674.18,2025-02-18,P0004,-5,51.47,Cash,False,-85.433909,,True,False,False
C5545,,Other,53652.31,2025-03-10,P0010,5,628.37,Online Wallet,False,,,True,False,False
C5959,,Other,80935.91,,P0100,-5,146.25,Online Wallet,True,,-138.958027,True,False,False
C7721,51.0,Other,24626.26,,P0019,-5,223.66,Cash,False,,131.660815,True,False,False
C3034,,Male,70391.54,,P0034,-5,80.14,Card,True,,91.507658,True,False,False
C5744,,Female,61233.67,,P0054,-5,833.29,Cash,True,,,True,False,False
C2962,,Other,80586.01,,P0092,6,866.67,Crypto,True,-64.856463,-72.320203,True,False,False
C4526,,Other,109372.32,2025-01-19,P0053,-5,925.94,Cash,True,-57.812096,-172.540881,True,False,False
C8503,,Other,96314.02,,P0015,2,315.09,Cash,False,89.166617,,True,False,False
C5873,31.0,Female,58777.63,,P0058,9,670.38,Crypto,False,,,True,False,False
C5523,26.0,Male,108976.05,,P0080,-5,295.13,Cash,False,,,True,False,False
C7194,34.0,Other,66187.07,2025-01-21,P0044,-5,83.72,Online Wallet,True,,,True,False,False
C1482,,Other,57512.27,2025-02-12,P0031,-5,82.04,Cash,True,,134.419824,True,False,False
C4079,20.0,Other,59016.06,2025-01-15,P0038,10,990.68,Cash,False,3.475397,,True,False,False
C9564,,Male,60407.47,2025-01-04,P0062,4,71.44,Crypto,True,,-94.424779,True,False,False
C7032,21.0,Male,56061.6,2025-02-07,P0092,-5,825.42,Card,False,-37.694781,24.534106,True,False,False
C6521,,Other,90629.59,2025-01-27,P0002,10,726.42,Online Wallet,False,,,True,False,False
C9868,,Other,64777.05,2025-02-14,P0046,-5,925.83,Cash,True,,71.718229,True,False,False
C6383,,Male,65287.95,,P0049,7,822.45,Crypto,True,51.378488,,True,False,False
C8366,56.0,Other,59999.18,,P0013,9,320.97,Card,True,-1.984266,,True,False,False
C9264,,Other,91751.71,,P0032,4,373.73,Online Wallet,True,47.46267,-30.46609,True,False,False
C3038,31.0,Other,119823.33,2025-01-17,P0044,-5,308.01,Cash,False,,,True,False,False
C8991,23.0,Female,52673.32,2025-03-18,P0023,7,602.24,Crypto,True,27.111542,82.007648,True,False,False
C1300,18.0,Female,109649.34,,P0053,6,665.97,Card,True,-71.019493,64.464075,True,False,False
C1836,,Other,86458.58,,P0062,-5,393.73,Online Wallet,True,83.499041,,True,False,False
C3487,,Female,30890.07,,P0029,5,605.99,Crypto,False,77.174192,-105.846786,True,False,False
C8761,59.0,Male,81325.32,,P0050,3,749.91,Cash,True,-2.206478,-40.047319,True,False,False
C4119,,Male,31315.03,2025-03-15,P0050,-5,257.5,Cash,True,16.698143,,True,False,False
C6084,,Female,48648.65,2025-01-21,P0022,6,774.61,Crypto,False,,,True,False,False
C4013,,Other,30590.4,,P0061,-5,345.34,Crypto,True,-77.595914,,True,False,False
C4089,20.0,Other,70951.9,,P0093,-5,977.23,Online Wallet,True,17.6846,,True,False,False
C1461,65.0,Female,73496.22,2025-03-05,P0063,-5,103.58,Card,True,,-124.596242,True,False,False
C7229,,Male,83657.78,,P0091,-5,111.13,Crypto,True,,-5.383815,True,False,False
C5036,,Male,116795.7,,P0081,6,97.59,Crypto,True,57.056844,157.302162,True,False,False
C4518,,Other,104608.91,2025-03-03,P0080,-5,787.88,Cash,True,-20.111568,-58.902641,True,False,False
C7136,,Female,104511.3,2025-01-03,P0026,2,755.35,Crypto,True,-81.236441,,True,False,False
C4271,,Other,92979.18,2025-01-18,P0092,-5,679.73,Crypto,True,,59.846832,True,False,False
C5708,,Other,76901.01,2025-03-16,P0050,1,461.36,Crypto,True,,,True,False,False
C1684,,Other,82442.69,,P0052,-5,856.03,Card,False,,,True,False,False
C5442,,Female,44875.74,,P0005,9,522.21,Crypto,True,14.803378,,True,False,False
C1251,62.0,Other,93448.39,2025-02-19,P0005,-5,702.86,Cash,True,14.943757,,True,False,False
C6819,40.0,Female,108691.69,,P0010,-5,584.09,Online Wallet,False,,-73.040125,True,False,False
C1960,40.0,Other,36033.86,2025-03-25,P0081,10,903.72,Card,False,,,True,False,False
C3914,69.0,Other,30536.53,,P0072,-5,248.11,Online Wallet,True,,-155.270296,True,False,False
C2265,,Other,75541.06,2025-01-05,P0040,-5,144.45,Card,True,,,True,False,False
C5534,35.0,Male,32917.18,,P0085,1,904.32,Online Wallet,False,,-88.385107,True,False,False
C8513,,Male,119885.18,,P0076,-5,83.25,Crypto,False,,,True,False,False
C8455,64.0,Female,117020.62,,P0031,3,634.39,Online Wallet,True,40.074853,36.815928,True,False,False
C9589,,Other,42427.57,,P0052,2,925.36,Crypto,True,-73.186369,,True,False,False
C9068,56.0,Other,52093.01,2025-01-26,P0006,7,238.35,Card,True,,42.191929,True,False,False
C8321,32.0,Female,21112.64,2025-02-14,P0055,-5,991.64,Online Wallet,True,21.876467,,True,False,False
C5057,43.0,Other,27464.0,,P0018,-5,875.29,Crypto,False,-21.018968,,True,False,False
C6807,42.0,Female,76115.83,2025-03-25,P0077,4,996.0,Cash,True,35.32758,,True,False,False
C7241,,Other,65764.98,,P0085,5,369.56,Online Wallet,True,,,True,False,False
C2627,23.0,Male,76338.58,,P0060,6,208.73,Crypto,True,,163.125729,True,False,False
